url,starAmount,forkAmount,position
https://api.github.com/repos/navasmdc/MaterialDesignLibrary,9132,2363,title
https://api.github.com/repos/invertase/react-native-firebase,8276,1549,body
https://api.github.com/repos/Trinea/AndroidCommon,4950,2732,body
https://api.github.com/repos/agrosner/DBFlow,4778,608,body
https://api.github.com/repos/alamkanak/Android-Week-View,3254,1131,body
https://api.github.com/repos/ittianyu/BottomNavigationViewEx,3063,525,body
https://api.github.com/repos/octo-online/robospice,3015,584,body
https://api.github.com/repos/WritingMinds/ffmpeg-android-java,2926,779,body
https://api.github.com/repos/siyamed/android-shape-imageview,2569,606,body
https://api.github.com/repos/LuckyJayce/ViewPagerIndicator,2506,639,title
https://api.github.com/repos/iammert/MaterialIntroView,2338,381,title
https://api.github.com/repos/vikramkakkar/SublimePicker,2302,422,title
https://api.github.com/repos/janishar/PlaceHolderView,2044,354,body
https://api.github.com/repos/Kaopiz/android-segmented-control,1839,407,body
https://api.github.com/repos/hongyangAndroid/android-percent-support-extend,1816,510,body
https://api.github.com/repos/vaibhavpandeyvpz/apkstudio,1772,364,body
https://api.github.com/repos/huxq17/XRefreshView,1654,503,body
https://api.github.com/repos/liuguangqiang/SwipeFinish,1654,310,title
https://api.github.com/repos/facebook/screenshot-tests-for-android,1494,198,body
https://api.github.com/repos/fyhertz/spydroid-ipcamera,1473,751,body
https://api.github.com/repos/john990/WaveView,1282,305,body
https://api.github.com/repos/zhaozepeng/FloatWindowPermission,1219,259,body
https://api.github.com/repos/sd6352051/NiftyNotification,1120,320,body
https://api.github.com/repos/ahmedre/quran_android,1116,692,body
https://api.github.com/repos/quran/quran_android,1116,692,body
https://api.github.com/repos/sockeqwe/fragmentargs,1075,89,body
https://api.github.com/repos/harjot-oberai/Long-Shadows,1039,99,body
https://api.github.com/repos/QuadFlask/colorpicker,991,197,body
https://api.github.com/repos/panwrona/DownloadProgressBar,976,174,body
https://api.github.com/repos/halysongoncalves/Pugnotification,867,137,body
https://api.github.com/repos/aws/aws-sdk-android-v2,791,475,body
https://api.github.com/repos/saikrishna321/AppiumTestDistribution,728,301,body
https://api.github.com/repos/hotchemi/Android-Rate,696,203,body
https://api.github.com/repos/Yalantis/CameraModule,686,198,title
https://api.github.com/repos/attenzione/android-ColorPickerPreference,650,301,body
https://api.github.com/repos/crosg/FloatMenuSample,631,143,body
https://api.github.com/repos/ryanhoo/PhotoCropper,607,223,body
https://api.github.com/repos/tuesda/Watch,607,139,body
https://api.github.com/repos/tzutalin/dlib-android-app,600,215,body
https://api.github.com/repos/nr4bt/wasp,588,73,body
https://api.github.com/repos/xSAVIKx/AndroidScreencast,549,137,body
https://api.github.com/repos/dmitry-zaitsev/AndroidSideMenu,536,331,body
https://api.github.com/repos/H07000223/FlycoBanner_Master,532,144,body
